2419;1;7.779602066;MaterialA
3332;1;8.018107207;MaterialA
877;1;8.431285057;MaterialA
1373;1;8.273905109;MaterialA
1353;1;7.490834695;MaterialA
4434;1;8.301828463;MaterialA
550;1;9.798966071;MaterialA
931;1;10.04043298;MaterialA
70;1;9.9892;MaterialA
610;1;10.01022742;MaterialA
566;1;10.37472281;MaterialA
98;1;9.7629;MaterialA
262;1;9.695784921;MaterialA
1999500;0;3.903614289;MaterialA
199734;1;4.217932194;MaterialA
30048;1;3.875438644;MaterialA
49040;1;3.967069517;MaterialA
72278;1;3.802623916;MaterialA
353376;1;3.983433208;MaterialA
313566;1;3.784685088;MaterialA
1999500;0;4.125176608;MaterialA
1372;1;5.695070356;MaterialA
13599;1;5.847867969;MaterialA
3595;1;5.878288571;MaterialA
2632;1;6.074111538;MaterialA
9599;1;5.995698864;MaterialA
3565;1;6.151734286;MaterialA
6474;1;3.926250207;MaterialA
57521;1;3.935824802;MaterialA
288358;1;3.947117585;MaterialA
207959;1;3.928459885;MaterialA
285;1;9.82881565;MaterialA
2700;1;5.942654662;MaterialA
1136;1;5.999864738;MaterialA
1218;1;8.046994512;MaterialA
884;1;7.972722165;MaterialA
622;1;9.870508062;MaterialB
1845;1;9.909288762;MaterialB
797;1;9.444751781;MaterialB
3085;1;10.34115955;MaterialB
2359;1;9.491694551;MaterialB
933;1;9.907922317;MaterialB
564;1;9.950698007;MaterialB
790;1;9.95395464;MaterialB
2665;1;7.992099715;MaterialB
781;1;7.926996386;MaterialB
3222;1;7.98781201;MaterialB
2858;1;7.692854877;MaterialB
8113;1;7.554141111;MaterialB
5752;1;8.140890648;MaterialB
16082;1;7.986039055;MaterialB
2223;1;7.667426042;MaterialB
915;1;7.786069406;MaterialB
37484;1;7.683310745;MaterialB
12488;1;6.060375558;MaterialB
54051;1;5.996948029;MaterialB
37485;1;5.990814366;MaterialB
57267;1;5.86653004;MaterialB
169456;1;5.988580709;MaterialB
114465;1;5.915606063;MaterialB
44332;1;5.873869194;MaterialB
21553;1;5.955544805;MaterialB
76374;1;3.930002196;MaterialB
1999800;0;3.999091611;MaterialB
1999900;0;3.942639813;MaterialB
85904;1;4.019514247;MaterialB
1999900;0;4.0207992;MaterialB
1999900;0;3.963221317;MaterialB
221901;1;3.823296159;MaterialB
1999900;0;3.91456991;MaterialB
1999900;0;3.930063141;MaterialB
1999900;0;3.920468774;MaterialB
